Composure,Period,Period_Timeline,Photo_Url,Fun_Fact,Music_style,Background_history,Iframe
George Frideric Handel,Baroque,1685-1759,/assets/george.png,Handel once threatened to throw a soprano out of a window for not singing his aria properly.,"Handel's music combined German, Italian, and English influences, featuring dramatic flair and ornate counterpoint typical of the Baroque period.","Born in Germany, Handel moved to England and became a naturalized British citizen. He once engaged in a keyboard duel with Domenico Scarlatti, which ended in a draw, showcasing his exceptional skill as a performer.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/v_mZ6GYh2ls?si=TskWs-yZZrzSVur5"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Johann Sebastian Bach,Baroque,1685-1750,/assets/johann.jpg,Bach was imprisoned for an entire month because he insisted on resigning from his job to work for a better employer.,"Bach was a master of counterpoint, creating complex polyphonic works with intricate harmonies and motivic organization.",Bach fathered 20 children and was once jailed for a month for stubbornly seeking a dismissal from a duke's service. This period in jail allowed him to compose prolifically.,"<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/1PkD47rNkfY?si=qH4ZrdkX1T67zLCW"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Antonio Vivaldi,Baroque,1678-1741,/assets/vivaldi.jpg,"Known as ""The Red Priest"" due to his red hair, Vivaldi composed much of his music for an all-female orchestra at an orphanage.",Vivaldi perfected the three-movement concerto form and was known for his virtuosic violin compositions and expressive melodies.,"Nicknamed ""The Red Priest"" due to his red hair and clerical status, Vivaldi taught at an orphanage for girls, composing hundreds of works for his talented students.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/4rgSzQwe5DQ?si=E91TIH-AQDzB4mPa"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Jean-Philippe Rameau,Baroque,1683-1764,/assets/rameau.jpg,Rameau's opera overtures were so innovative that one depicted chaos before the creation of the universe.,Rameau was known for his innovative harmonic theories and expressive French Baroque opera compositions.,"Rameau didn't publish his first opera until age 50, yet he became a leading figure in French music, engaging in heated debates with conservative musicians of his time.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/mLmbZJAjeoI?si=TxqXCYohqwpktUdh"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Joseph Haydn,Classical,1732-1809,/assets/haydn.png,"Haydn's ""Farewell Symphony"" included musicians leaving the stage one by one to signal their desire for a vacation.","Haydn significantly shaped the classical sonata, symphony, and string quartet forms, known for his wit and inventiveness.","Haydn's mischievous nature earned him the nickname ""Papa Haydn."" He once composed the ""Surprise Symphony"" to startle drowsy audience members with a sudden loud chord.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/tF5kr251BRs?si=QGsfIdElNoYZ-fTS"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Antonio Salieri,Classical,1750-1825,/assets/salieri.jpg,"Salieri taught Beethoven, Schubert, and Liszt, proving he was more than just Mozart's rival.","Salieri composed in the classical style, known for his operas and sacred music.","Contrary to popular myth, Salieri was not Mozart's bitter rival. In fact, he was a respected teacher who taught Beethoven, Schubert, and Liszt.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/VExHrtfvtm4?si=zUVPOVylLr2EyERw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Johann Christian Bach,Classical,1735-1782,/assets/bach.jpg,"Known as ""The London Bach,"" he heavily influenced the young Mozart during their time in England.","The youngest son of J.S. Bach, he helped develop the classical style, influencing Mozart.","Known as the ""London Bach,"" he moved to England and became music master to Queen Charlotte, introducing the piano to London concerts.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/ZCr0l_0Gkno?si=tTe4RSUDpXD_qswd"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Wolfgang Amadeus Mozart,Classical,1756-1791,/assets/mozart.jpg,"Mozart could transcribe entire compositions after a single hearing, showcasing his extraordinary memory.","Mozart's music epitomizes the Classical era, known for its elegance, clarity, and emotional depth.","A child prodigy, Mozart composed his first piece at age 5 and performed for European royalty. He had a remarkable ability to compose entire works in his head before writing them down.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/oy2zDJPIgwc?si=wrbLHquCpXvxuyCT"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Giuseppe Verdi,Romantic,1813-1901,/assets/verdi.jpg,"Verdi's opera Nabucco became a symbol of Italian unification, with audiences using its famous chorus as a patriotic anthem.",Verdi composed dramatic Italian operas with memorable melodies and intense emotions.,"Verdi's operas often carried political undertones, with ""Va, pensiero"" from ""Nabucco"" becoming an unofficial Italian anthem during the country's unification.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/TX0qN6QEvGg?si=gqEeDp7oAoAKMunA"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Richard Wagner,Romantic,1813-1883,/assets/wagner.png,"Wagner designed and built his own opera house in Bayreuth, specifically tailored to his complex works.","Wagner revolutionized opera with his concept of ""Gesamtkunstwerk"" (total work of art), using leitmotifs and continuous music.","Wagner built his own opera house, the Bayreuth Festspielhaus, specifically designed to perform his epic ""Ring Cycle,"" a series of four operas totaling about 15 hours.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/s2RiOhYpRFc?si=d6KDNQ7P4TuDQUY8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Peter Iljitsch Tchaikovsky,Romantic,1840-1893,/assets/peter.jpg,Tchaikovsky conducted the inaugural performance at Carnegie Hall in New York City in 1891.,"Tchaikovsky combined Russian folk influences with Western classical traditions, creating emotionally expressive music.","Tchaikovsky's ballet ""The Nutcracker"" was initially considered a failure but has since become a beloved holiday tradition worldwide.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/6YRhkRSTU3g?si=32ZadmvgP02bk025"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Frederic Chopin,Romantic,1810-1849,/assets/chopin.jpg,Chopin disliked public performances so much that he gave only about 30 concerts in his lifetime.,"Chopin focused on piano compositions, known for his expressive melodies and innovative use of the instrument.","Chopin's heart was removed after his death and buried in Warsaw, while his body remains in Paris, symbolizing his divided loyalties to Poland and France.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/9E6b3swbnWg?si=txGasnIXyc29N34S"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Igor Stravinsky,Modern,1882-1971,/assets/igor.jpeg,Stravinsky’s The Rite of Spring caused a riot at its 1913 premiere due to its unconventional music and choreography.,Stravinsky's style evolved from Russian-influenced primitivism to neoclassicism and serialism.,"The premiere of Stravinsky's ""The Rite of Spring"" caused a riot in the audience due to its revolutionary music and choreography.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/iAidM9pLm4k?si=RxQxBgl7DGkkuOQ8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Arnold Schoenberg,Modern,1874-1951,/assets/arnold.png,Schoenberg had triskaidekaphobia (fear of the number 13) and died on Friday the 13th.,"Schoenberg developed the twelve-tone technique, revolutionizing 20th-century music.","Schoenberg was also a painter and was part of the Blue Rider group, which included Wassily Kandinsky. His paintings reflect his innovative approach to both visual art and music.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/vqODySSxYpc?si=hdW1L9gyNHEnQcNy"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Dmitri Shostakovich,Modern,1906-1975,/assets/dmitri.png,"Shostakovich kept a packed suitcase by his door, fearing arrest during Stalin's regime.",Shostakovich's music combined traditional forms with intense emotions and often hidden political messages.,"Shostakovich lived under constant fear during Stalin's regime, with his music alternately praised and condemned by Soviet authorities.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/7UIHl0oJEpg?si=VaSmCKm57YoA-96k"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
Bela Bartok,Modern,1881-1945,/assets/bela.jpg,"Bartók was one of the first ethnomusicologists, traveling to remote villages to record and preserve folk music on wax cylinders.","Bartók integrated Hungarian folk music with modern techniques, creating a unique 20th-century style.","Bartók traveled extensively, recording folk music on wax cylinders. This research deeply influenced his compositions, blending traditional and modern elements.","<iframe width=""560"" height=""120"" src=""https://www.youtube.com/embed/QElT9KD4uX8?si=55VLimscJQjByO5e"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>"
